Lesson,content,category,answer1,answer2,answer3,answer4,answer5,answer6
O-Declension III," puer, puerī ",vocab, boy,,,,,
O-Declension III," pulcher, pulchra, pulchrum ",vocab, pretty,,,,,
O-Declension III," Rōma, -ae ",vocab, Rome,,,,,
O-Declension III, saepe ,vocab, often,,,,,
O-Declension III," scūtum, -ī ",vocab, shield,,,,,
O-Declension III, sed ,vocab, but,,,,,
O-Declension III," vir, virī ",vocab, man,,,,,
Possesive Adjectives,My son Sextus is carrying his booty to the Roman camp.,translation-eng,Filius meus Sextus praedam suam in castra Romana portat. ,,,,,
Possesive Adjectives,"My son, where is the lieutenant’s food?",translation-eng,"Ubi, mi fili, est cibus legati? ",,,,,
Possesive Adjectives,"The camp is mine, but the weapons are yours.",translation-eng,"Castra sunt mea, sed tela sunt tua. ",,,,,
Possesive Adjectives,There are  frequent battles in our villages.,translation-eng,Sunt pugnae crebrae in vicis nostris. ,Sunt proelia crebra in vicis nostris. ,,,,
Possesive Adjectives,Your good girls are giving aid to the sick and wretched.,translation-eng,Puellae tuae bonae aegris et miseris auxilium dant. ,,,,,
Possesive Adjectives,Amīcī meī bonam cēnam ancillae vestrae laudant,translation-lat,My friends are praising the good dinner of your maidservant. ,,,,,
Possesive Adjectives,Amīcī tuī miserīs et aegrīs cibum et pecūniam saepe dant.,translation-lat,Your friends often give food and money to the wretched and the sick.,,,,,
Possesive Adjectives,Est cōpia frūmentī in agrīs nostrīs.,translation-lat,There is plenty of grain in our fields.,,,,,
Possesive Adjectives,Est cōpia praedae in castrīs vestrīs.,translation-lat,There is plent of booty in your camp.,There is an abundance of spoils in your camp.,,,,
Possesive Adjectives,Iūlia gallīnās suās pulchrās amat et gallīnae dominam suam amant.,translation-lat,Julia loves her beautiful chickens and the chickens love their lady.,,,,,
Possesive Adjectives,Mārcus amīcō Sextō cōnsilium suum nūntiat,translation-lat,Marcus announces his plan to his friend Sextus.,,,,,
Possesive Adjectives,"Mea galea, Sexte, est in casā meā.",translation-lat,"Sextus, my helmet is in my house.",,,,,
Possesive Adjectives,Nostra castra sunt vestra.,translation-lat,Our camp is yours.,,,,,
Possesive Adjectives,Our teacher praises Mark’s industry.,translation-lat,Magister noster industriam Marci laudat.,,,,,
Possesive Adjectives,"Pīlum longum est tuum, sed gladius est meus.",translation-lat,"The long spear is yours, but the sword is mine.",,,,,
Possesive Adjectives,"Scūta nostra et tēla, mī amīce, in castrls Rōmānīs sunt.",translation-lat,"Our shields and spears, my friend, are in the Roman camp.",,,,,
Possesive Adjectives,Suntne virī patriae tuae līberī? Sunt.,translation-lat,"Are not the men of your fatherland free? Yes, they are.",,,,,
Possesive Adjectives,"Tua lōrīca, mī fīlī, est dūra.",translation-lat,"Your coat of mail, O my son, is hard.",,,,,
Possesive Adjectives,"Ubi, Cornēlī, est tua galea pulchra?",translation-lat,"Cornelius, where is your beautiful helmet?",,,,,
Possesive Adjectives," aeger, aegra, aegrum ",vocab, sick,,,,,
Possesive Adjectives," auxilium, auxi´lī ",vocab, help, aid,,,,
Possesive Adjectives," castrum, -ī ",vocab, fort,,,,,
Possesive Adjectives," cibus, -ī ",vocab, food,,,,,
Possesive Adjectives," cōnsilium, cōnsi´lī ",vocab, plan,,,,,
Possesive Adjectives," crēber, crēbra, crēbrum ",vocab, frequent,,,,,
Possesive Adjectives," dīligentia, -ae ",vocab, diligence, industry,,,,
Possesive Adjectives," miser, misera, miserum ",vocab, wretched, unfortunate,,,,
Ablative II,Many are sick because of bad water and for lack of food. ,translation-eng,Multi sunt aegri aqua mala et inopia cibi. ,,,,,
Ablative II,"Sextus, the lieutenant, and (his) son Mark are fighting with the Germans.",translation-eng,Sextus legatus et filius Marcus cum Germanis pugnant. ,,,,,
Ablative II,"The Germans, with (their) sons and daughters, are hastening with horses and wagons.",translation-eng,Germani cum filiis filiabusque equis et curris properant.,,,,,
Ablative II,The Roman legionaries are armed with long spears.,translation-eng,Legionari Romani pilis longis armati sunt.,,,,,
Ablative II,The sturdy farmers of Italy labor in the fields with great diligence. ,translation-eng,Agricolae validi Italiae magna cum dlligentia in agris laborant.,,,,,
Ablative II,"Where is Lesbia, your maid, Sextus? Lesbia is with my friends in Galba’s cottage.",translation-eng,"Ubi, Sexte, est Lesbia ancilla tua?",,,,,
Ablative II,"Ex agrīs suīs, vicīs, oppidīsque magnō studiō virī validī ad arma properant.",translation-lat,"Out of their fields, villages and towns strong men are hastening to arms with great zeal.",,,,,
Ablative II,"Iam lēgatī cum legiōnariīs ex Italiā ad Rhēnum, fluvium Germāniae altum et lātum, properant.",translation-lat,Already the lieutenants are hastening out of Italy to the Rhine with legionary soldiers.,,,,,
Ablative II,Inopiā bonōrum tēlōrum īnfirmī sunt Germānī. ,translation-lat,The Germans are weak because of lack of good weapons.,,,,,
Ablative II,"Rōmānī armāti galeīs, lōrīcīs, scūtīs, gladiīs, pīlīsque sunt validī.",translation-lat,"The Romans, armed with helmets, coats of mail, shields, swords, and spears, are strong.",,,,,
Ablative II,"Rōmānī, clārus Italiae populus, bellum parant.",translation-lat,"The Romans, the famous people of Italy, are preparing for war.",,,,,
Ablative II,Servī equīs et carrīs cibum frūmentumque ad castra Rōmāna portant.,translation-lat,The servants carry food and wheat with horses and carts to the Roman camp.,,,,,
Ablative II," armātus, -a, -um ",vocab, armed,,,,,
Ablative II," carrus, -ī ",vocab, cart, wagon,,,,
Ablative II, iam ,vocab, already, now,,,,
Ablative II," īnfīrmus, -a, -um ",vocab, week, feeble,,,,
Ablative II," inopia, -ae ",vocab, want, lack,,,,
Ablative II, mātūrat ,vocab," he (she, it) hastens.",,,,,
Ablative II, -que ,vocab, and,,,,,
Ablative II," studium, studī ",vocab, zeal, eagerness,,,,
