Lesson,content,category,answer1,answer2,answer3,answer4,answer5,answer6
Nouns in -er and -ir,"Tiberim,fluvium R?m?num, quis n?n laudat et pulchr?s fluvi? f?nitim?s agr?s?",translation-lat,"Who does not praise the Tiber, the Roman river, and the beautiful fields 
neighboring the river?",,,,,
Nouns in -er and -ir,"Alt?s m?r?s, longa et d?ra bella, cl?r?s vict?ri?s quis n?n laudat?",translation-lat,"Who does not praise the high walls, the long and hard wars, and 
the famous victories?",,,,,
Nouns in -er and -ir,Pulchra est terra Italia.,translation-lat,The land of Italy is beautiful.,,,,,
Nouns in -er and -ir,"Agr? bon? agricol?s praemia dant magna, et equ? agricol?rum c?piam fr?ment? ad oppida et v?c?s portant.",translation-lat,"The good fields give farmers great 
rewards, and the farmers' horses carry an abundance of wheat to the 
towns and villages.",,,,,
Nouns in -er and -ir,In agr?s popul? R?m?n? lab?rant mult? serv?.,translation-lat,In the fields of the Roman people labour many slaves.,,,,,
Nouns in -er and -ir,Viae Italiae sunt longae et l?tae.,translation-lat,"The roads of 
Italy are long and wide.",,,,,
Nouns in -er and -ir,F?nitima Italiae est ?nsula Sicilia.,translation-lat,Neighbouring Italy is the island of Sicily.,,,,,
Nouns in -er and -ir," ager, agr? ",vocab, field,,,,,
Nouns in -er and -ir," c?pia, -ae ",vocab, plenty, abundance,,,,
Nouns in -er and -ir," Corn?lius, Corn?´l? ",vocab, Cornelius,,,,,
Nouns in -er and -ir," l?r?´ca, -ae ",vocab, coat of mail, corselet,,,,
Nouns in -er and -ir," praemium, praem? ",vocab, reward, prize,,,,
Nouns in -er and -ir," puer, puer? ",vocab, boy,,,,,
Nouns in -er and -ir," R?ma, -ae ",vocab, Rome,,,,,
Nouns in -er and -ir," sc?tum, -? ",vocab, shield,,,,,
Nouns in -er and -ir," vir, vir? ",vocab, man, hero,,,,
Nouns in -er and -ir," l?ber, l?bera, l?berum ",vocab, free,,,,,
Nouns in -er and -ir," l?ber?, -?rum ",vocab, children,,,,,
Nouns in -er and -ir," pulcher, pulchra, pulchrum ",vocab, pretty, beautiful,,,,
Nouns in -er and -ir, apud ,vocab, among,,,,,
Nouns in -er and -ir, sed ,vocab, but,,,,,
